rank,Steam ID,last Two Weeks,ATH,scoreSum,status_U_Count,Level,Badges,Games,Friends,Groups,Screenshots,Reviews,Cluster
1,76561199177312046,44.93,847.25,0.6,0.4,32,19,30,34,3,1,4,0
1,76561199230583047,32.52,216.74,0.42,0.01,24,13,11,7,5,0,1,0
1,76561199093279027,5.65,80.92,0.12,0.05,3,3,17,12,0,0,2,0
1,76561199354815053,3.32,38.97,0.15,0.43,22,9,1,7,0,1,3,0
1,76561199170382850,24.6,115.09,0.42,0.12,7,8,12,27,1,15,5,0
1,76561199155770012,41.42,168.23,0.28,0.03,4,5,10,10,0,0,3,0
1,76561198146931627,306.88,4426.19,0.78,0.03,70,67,406,0,864,2,10,-1
1,76561199434065123,15.17,15.17,0.09,0.06,1,1,1,2,0,0,1,0
1,76561198262139345,20.92,21.7,0.15,0.4,5,4,4,24,9,0,1,0
1,76561198983372416,6.87,56.04,0.13,0.09,2,2,1,2,0,0,1,0
1,76561199241798645,12.67,402.92,0.4,0.22,20,14,23,69,55,9,4,0
1,76561199436279311,8.33,8.33,0.07,0.03,1,1,1,4,0,0,1,0
1,76561199101149579,6.6,47.15,0.2,0.04,5,4,78,2,1,5,19,0
1,76561199387678813,47.05,106.98,0.22,0.52,9,5,1,0,4,0,1,0
1,76561198273495327,2.72,37.68,0.25,0.12,13,7,38,28,0,0,3,0
1,76561198263125190,11.57,284.61,0.55,0.19,16,11,69,26,4,38,10,0
1,76561199256918953,55.68,102.15,0.2,0.29,3,3,2,9,6,0,1,0
1,76561199436832518,1.08,1.08,0.04,0,1,2,1,0,1,0,1,0
1,76561197961011013,4.53,151.2,0.3,0.07,11,4,11,14,2,0,1,0
1,76561199114118354,15.22,50.56,0.19,0,3,3,24,12,0,0,2,0
1,76561199383282189,3.85,181.17,0.27,0.47,2,2,1,0,1,0,1,0
1,76561199394443244,7.85,61.68,0.18,0.62,4,4,1,12,2,1,1,0
1,76561199264909938,33.28,368.4,0.4,0.29,3,2,8,26,7,0,1,0
1,76561198277197033,63.33,156.54,0.6,0.07,17,10,53,0,6,9,2,0
1,76561198451350742,11.23,573.66,0.72,0.13,24,15,26,75,11,1,7,0
