FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable,,,0.195617780309682
Survival,Shooter,Multiplayer,Battle Royale,FPS,PvP,Third-Person shooter,,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-based,Difficult,Simulation,,Slealth,0.211718848563364
Open World,Action,Multiplayer,Crime,Automobile Sim,Third Person,First-Person,Shooter,Mature,Adventure,Singleplayer,Third-Person Shooter,Racing,Co-op,Atmospheirc,Sandbox,Funny,Great Soundtrack,Comedy,Moddable,,,0.188081549511059
Battle Royale,Multiplayer,Martial Arts,PvP,Survival,Female Protagonist,Action,Third Person,Hack and Slash,Character Customization,Massively Multiplayer,Swordplay,Parkour,Adventure,Anime,Violent,Hentai,Mature,Gore,,,,0.18633265635937
Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,PvP,Sandbox,Adventure,First-Person,Action,FPS,Nudity,Co-op,Shooter,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation,,,0.192710620338428
Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Crafting,Pixel Graphics,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheirc,,,0.215541078279021
Co-op,Action,FPS,Heist,Looter Shooter,Multiplayer,Online Co-Op,Stealth,Crime,Shooter,Team-Based,First-Person,Great Soundtrak,Gun Customization,Tactical,PvE,Strategy,Singleplayer,Funny,Simulation,,,0.105353515270552
Cyberpunk,Open World,RPG,Nudity,Singleplayer,Sci-fi,Futuristic,FPS,First-Person,Story Rich,Mature,Atmospheirc,Exploration,Action,Violent,Great Soundtrak,Action RPG,Adventure,Character Customization,Immersive Sim,,,0.179445633779951
Free to Play,Open World,FPS,Looter Shooter,MMORPG,PvP,PvE,Co-op,Shooter,First-Person,Massively Multiplayer,Sci-fi,Loot,Action,Multiplayer,Lore-Rich,Space,Adventure,Competitive,Atmospheirc,,,0.226886908186071
Open World Survival Craft,Sruvival,Open World,Multiplayer,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie,,,0.191351610704777
Football (Soccer),Sports,Multiplayer,Competitive,Controller,Simulation,Local Multiplayer,Singleplayer,Online Co-Op,Local Co-Op,Realistic,PvP,eSports,Family Friendly,Team-Based,Immersive Sim,Physics,Co-op,Cinematic,Sexual Content,,,0.179450715282643
Grand Strategy,Historical,Simulation,Alternate History,Economy,Military,Strategy,Sandbox,Political,Diplomacy,Real-Time with Pause,Moddable,Replay Value,Nonlinear,Singleplayer,Management,Multiplayer,Resource Management,Education,Great Soundtrack,,,0.1441769202991
Simulation,Farming Sim,Co-op,Agriculture,Moddable,Management,Multiplayer,Sandbox,3D,First-Person,Immersive Sim,Economy,Character Customization,Online Co-Op,Open World,Family Friendly,Third Person,Nature,America,Horses,,,0.186359851903311
Survival,Multiplayer,Co-op,Base Building,Open World Survival Craft,Crafting,Adventure,Open World,Horror,Action,Online Co-Op,Exploration,Sandbox,First-Person,Singleplayer,Early Access,RPG,Third Person,Funny,Cute,,,0.12644882370467
Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Great Soundtrack,Atmospheric,Procedural Generation,,,0.145154692126345
Immersive Sim,Sports,Basketball,Simulation,Co-op,Multiplayer,PvP,Realistic,Local Co-Op,Online Co-Op,Singleplayer,3D,Character Customization,Trading,Controller,4 Player Local,eSports,Team-Based,Local Multiplayer,Management,,,0.190198364949941
Co-op,Multiplayer,Action,Open World,RPG,Third Person,Character Customization,Adventure,Fantasy,Difficult,Singleplayer,Action RPG,Exploration,Great Soundtrack,Replay Value,Atmospheric,Hack and Slash,JRPG,Souls-like,MMORPG,,,0.199638012390523
Strategy,RPG,Grand Strategy,Medieval,Simulation,Historical,War,Political,Management,Character Customization,Singleplayer,Choices Matter,Sandbox,Multiplayer,Moddable,Real-Time with Pause,Sexual Content,PvP,Nudity,Dating Sim,,,0.145178124436023
Tower Defense,Strategy,Multiplayer,Singleplayer,Co-op,Online Co-Op,Family Friendly,Casual,3D,Cartoony,Sandbox,Difficult,Funny,Great Soundtrack,Cute,Survival,Action,Indie,2D,Adventure,,,0.158895963073317
Open World,RPG,Story Rich,Atmospheric,Mature,Fantasy,Adventure,Singleplayer,Choices Matter,Nudity,Great Soundtrack,Third Person,Medieval,Action,Multiple Endings,Action RPG,Magic,Dark Fantasy,Dark,Sandbox,,,0.193809705935132
Action Roguelike,Roguelike,Indie,Replay Value,Difficult,Pixel Graphics,Dungeon Crawler,Great Soundtrack,Singleplayer,Dark,2D,Remake,Local Co-Op,Gore,Procedural Generation,Roguelite,Atmospheric,Action,Co-op,Horror,,,0.0928421764791332
Open World,Atmospheric,Tactical,Perma Death,FPS,Multiplayer,Shooter,Survival Horror,PvP,Difficult,Horror,Online Co-Op,Team-Based,Battle Royale,Western,Co-op,Action,Gore,Zombies,First-Person,,,0.183545686457685
Sports,Basketball,Simulation,Realistic,Multiplayer,eSports,3D,Singleplayer,Team-Based,Character Customization,Management,Controller,Trading,Deckbuilding,4 Player Local,Co-op,Gambling,Local Co-Op,Local Multiplayer,Online Co-Op,,,0.179921079998197
Strategy,RTS,City Builder,Multiplayer,Base Building,Historical,Medieval,Singleplayer,Classic,Resource Management,Tactical,Real-Time,Remake,Co-op,Isometric,Replay Value,2D,Action,Adventure,Great Soundtrack,,,0.151010820661004
Open World,RPG,Singleplayer,Assassin,Action,Adventure,Historical,Stealth,Story Rich,Female Protagonist,Third Person,Parkour,Sexual Content,Choices Matter,Multiplayer,Violent,Nudity,Atmospheric,Great Soundtrack,Gore,,,0.189149300306705
Clicker,Idler,Casual,Indie,Pixel Graphics,Management,Collectathon,Economy,Funny,Memes,Building,Strategy,Resource Management,2D,Comedy,Simulation,Colorful,Touch-Friendly,Horror,Singleplayer,,,0.173710511347687
Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Multiplayer,Atmospheric,Crafting,Space Sim,Indie,Action,Simulation,FPS,VR,,,0.199932404240332
Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Co-op,Building,2D,Moddable,Singleplayer,Simulation,Trains,Pixel Graphics,City Builder,Indie,,,0.171981406140954
Survival,Open World,Building,Nudity,Open World Survival Craft,Crafting,Multiplayer,Sandbox,RPG,Massively Multiplayer,Action,Adventure,Online Co-Op,Exploration,Violent,Co-op,Singleplayer,Fantasy,Gore,PvP,,,0.204454800556833
Racing,Open World,Driving,Multiplayer,Automobile Sim,Adventure,Simulation,Realistic,Exploration,Arcade,First-Person,Atmospheric,Sports,PvP,Co-op,Online Co-Op,Singleplayer,Beautiful,Action,Third Person,,,0.168788149882998
FPS,World War II,Multiplayer,Shooter,Singleplayer,War,Military,First-Person,PvP,Combat,Massively Multiplayer,Open World,Action,Historical,Destruction,Battle Royale,Atmospheric,Violent,Sexual Content,Female Protagonist,,,0.133593026035244
Survival,Open World Survival Craft,Multiplayer,Open World,Zombies,Massively Multiplayer,Nudity,Action,Early Access,Adventure,Realistic,Crafting,Singleplayer,FPS,Violent,PvP,Third Person,Gore,Indie,RPG,,,0.199776594067615
Dark Comedy,RPG,Open World,Multiplayer,Multiplayer,Capitalism,Survival,Base Building,Co-op,Shooter,Horror,MMORPG,Gore,Exploration,FPS,Violent,Atmospheric,Early Access,Singleplayer,Great Soundtrac,,,0.200423519877924
Action,Military,Multiplayer,Simulation,Shooter,Realistic,First-Person,Open World,Tactical,FPS,War,Co-op,Strategy,Sandbox,Moddable,Singleplayer,Combat,Online Co-Op,Team-Based,Third-Person Shooter,,,0.130058772232723
Roguelike Deckbuilder,Card Game,Card Battle,Rouguelike,Deckbuilding,Turn-Based,Strategy,Singleplayer,Roguelite,Replay Value,Indie,Difficult,Dungeon Crawler,RPG,Mouse only,Great Soundtrack,2D,Procedural Generation,Fantasy,Casual,,,0.184276312530115
Colony Sim,Base Building,Survival,Resource Management,Building,Singleplayer,Management,Simulation,2D,Sandbox,Strategy,Space,Indie,Sci-fi,Exploration,Open World,Difficult,Adventure,Early Access,Multiplayer,,,0.173103214997972
