FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable,,,0.192483043007459
Survival,Shooter,Multiplayer,Battle Royale,FPS,PvP,Third-Person shooter,,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-based,Difficult,Simulation,,Slealth,0.21075494427579
Open World,Action,Multiplayer,Crime,Automobile Sim,Third Person,First-Person,Shooter,Mature,Adventure,Singleplayer,Third-Person Shooter,Racing,Co-op,Atmospheirc,Sandbox,Funny,Great Soundtrack,Comedy,Moddable,,,0.175396980697575
Battle Royale,Multiplayer,Martial Arts,PvP,Survival,Female Protagonist,Action,Third Person,Hack and Slash,Character Customization,Massively Multiplayer,Swordplay,Parkour,Adventure,Anime,Violent,Hentai,Mature,Gore,,,,0.177984837258298
Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,PvP,Sandbox,Adventure,First-Person,Action,FPS,Nudity,Co-op,Shooter,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation,,,0.191868587861949
Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Crafting,Pixel Graphics,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheirc,,,0.209017539806169
Co-op,Action,FPS,Heist,Looter Shooter,Multiplayer,Online Co-Op,Stealth,Crime,Shooter,Team-Based,First-Person,Great Soundtrak,Gun Customization,Tactical,PvE,Strategy,Singleplayer,Funny,Simulation,,,0.10332925492246
Cyberpunk,Open World,RPG,Nudity,Singleplayer,Sci-fi,Futuristic,FPS,First-Person,Story Rich,Mature,Atmospheirc,Exploration,Action,Violent,Great Soundtrak,Action RPG,Adventure,Character Customization,Immersive Sim,,,0.178060458323467
Free to Play,Open World,FPS,Looter Shooter,MMORPG,PvP,PvE,Co-op,Shooter,First-Person,Massively Multiplayer,Sci-fi,Loot,Action,Multiplayer,Lore-Rich,Space,Adventure,Competitive,Atmospheirc,,,0.218851681689027
Open World Survival Craft,Sruvival,Open World,Multiplayer,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie,,,0.181425973895338
Football (Soccer),Sports,Multiplayer,Competitive,Controller,Simulation,Local Multiplayer,Singleplayer,Online Co-Op,Local Co-Op,Realistic,PvP,eSports,Family Friendly,Team-Based,Immersive Sim,Physics,Co-op,Cinematic,Sexual Content,,,0.125122860896471
Football (Soccer),Sports,Management,Simulation,Football (American),Real Time Tactics,Strategy,Multiplayer,eSports,Character Customization,2D,3D,Singleplayer,Text-Based,,,,,,,,,0.172576193115118
Horror,Survival Horror,Multiplayer,Online Co-Op,Co-op,Survival,Gore,Team-Based,Blood,Stealth,Third Person,First-Person,Violent,Psychological Horror,Action,Atmospheric,Strategy,Comedy,Mature,Difficult,,,0.185553770112183
Strategy,Turn-Based Strategy,Multiplayer,Historical,Singleplayer,Turn-Based,Grand Strategy,4X,War,Simulation,City Builder,Tactical,Building,Management,Great Soundtrack,Moddable,Online Co-Op,Co-op,Hex Grid,Atmospheric,,,0.136827687964341
Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Competitive,Strategy RPG,Open World,Action,,,0.184640811469749
Massively Multiplayer,Open World,MMORPG,RPG,Adventure,Action,PvP,PvE,Multiplayer,Walking Simulator,Fantasy,Character Customization,Crafting,Third Person,Co-op,Open World Survival Craft,Sandbox,Violent,Sexual Content,Singleplayer,,,0.174175604199816
Football (Soccer),Sports,eSports,Controller,PvP,Management,Immersive Sim,Third Person,Simulation,Team-Based,Realistic,Multiplayer,Co-op,Local Co-Op,Local Multiplayer,Online Co-Op,Singleplayer,PvE,Free to Play,LGBTQ+,,,0.198637906179252
Souls-like,Dark Fantasy,RPG,Open World,Difficult,Action RPG,Third Person,Fantasy,Multiplayer,Singleplayer,Online Co-Op,Action,PvP,Co-op,Violent,Atmospheric,Great Soundtrack,3D,Character Customization,Family Friendly,,,0.172847541245796
Early Access,Action Roguelike,Roguelite,Bullet Hell,Arena Shooter,Top-Down Shooter,2D,Casual,RPG,Top-Down,Action,Post-apocalyptic,Procedural Generation,Hand-drawn,Funny,Aliens,Cartoony,Controller,Combat,Perma Death,,,0.150365476868222
Survival,Zombies,Multiplayer,Open World,Action,PvP,Shooter,Massively Multiplayer,Horror,Post-apocalyptic,Simulation,FPS,Early Access,First-Person,Survival Horror,Sandbox,Adventure,Co-op,Atmospheric,Indie,,,0.167849104416099
Early Access,Strategy,Turn-Based Strategy,Grand Strategy,RTS,Fantasy,Real Time Tactics,Dark Fantasy,War,Action,Tactical,Atmospheric,Colorful,Multiplayer,Games Workshop,PvP,Co-op,Story Rich,Singleplayer,Online Co-Op,,,0.161446530143928
Farming Sim,Life Sim,Pixel Graphics,RPG,Multiplayer,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open World,2D,Cute,Great Soundtrack,Dating Sim,Fishing,,,0.162186531632773
Open World,Post-apocalyptic,Singleplayer,Exploration,RPG,Adventure,Atmospheric,Shooter,First-Person,Story Rich,Action,Sci-fi,FPS,Action RPG,Sandbox,Great Soundtrack,Third Person,Survival,Third-Person Shooter,Character Customization,,,0.212206790794098
Racing,Open World,Driving,Multiplayer,Action,Singleplayer,Adventure,Co-op,Combat Racing,Atmospheric,Third Person,Arcade,Online Co-Op,Sports,First-Person,PvP,Character Customization,Split Screen,Controller,Destruction,,,0.181045838522673
Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Procedural Generation,Action,Early Access,,,0.159567444126719
